,Unnamed: 0,CV System RMSE,CV X-Recovery L0 Err,CV X-Recovery L2 Err,Cardinality,Experiment,Infeasible System RMSE,Infeasible X-Recovery L0 Err,Infeasible X-Recovery L2 Err,L0 Thresh,M,Method,N,Noise STD,Normalize A,Type A,d_x0,num_bits,type_x0,w_fp,x0_max,x0_min
107,107,0.575588872745499,40.0,1.0,40.0,13.0,0.3142575963680985,29.0,0.947960495181308,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
108,108,0.4189724839165431,54.0,0.7094193043798592,40.0,14.0,0.1111917998448421,25.0,0.6919479889820014,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
109,109,0.5011456244741213,31.0,0.9269982806688536,40.0,14.0,0.13671523281899278,25.0,0.8367197586237285,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
110,110,0.4429253879649752,44.0,0.6795133897730439,40.0,15.0,0.12300996972494485,21.0,0.67628946759565,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
111,111,0.6660202091975079,32.0,0.9490409206452128,40.0,15.0,0.24560181530689054,30.0,0.9242221770893849,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
112,112,0.3964670898213457,34.0,0.6199906651927657,40.0,16.0,0.08645838244565104,19.0,0.6199906651927657,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
113,113,0.5700815861157039,27.0,0.8822288647385954,40.0,16.0,0.3005255785635504,24.0,0.8435069941489508,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
114,114,0.26733867409534035,23.0,0.3731058709498684,40.0,17.0,0.025905932602364345,17.0,0.3728167279795008,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
115,115,0.5615869485927717,37.0,1.0126805944843784,40.0,17.0,0.3851958976832601,30.0,0.9560339821560536,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
116,116,0.4602416277204031,34.0,0.6981653392995916,40.0,18.0,0.0844482350097414,23.0,0.6965128890414864,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
117,117,0.5807236125902683,30.0,0.9013670567745259,40.0,18.0,0.3148897083667443,29.0,0.8942206795813639,0.1,90.0,OMP,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
118,118,0.4165823301906305,41.0,0.6206821111580277,40.0,19.0,0.011624982556689652,21.0,0.6206007263077838,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
